type,name,steam_appid,developers,publishers,header_image,website,categories,genres,steam_url,detection_stage,api_response_type,discovery_date
game,Mirage : Lost in the Liminal,2771970,Linconberry;Flippez ,Linconberry;Flippez,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2771970/0e45f23b663c1e2e050dd366aacc3752ed0b48e5/header.jpg?t=1751706783,,Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Adjustable Difficulty;Save Anytime;Stereo Sound;Partial Controller Support;Family Sharing,Action;Adventure;Indie;RPG,https://store.steampowered.com/app/2771970,public_unreleased,full_details,2025-07-05
game,Mukhota,3670560,an_ku_shh,an_ku_shh,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3670560/e6b95298c8c2cfd0944c7e42db0d16cb20492ad1/header.jpg?t=1751704999,,Single-player;Family Sharing,Adventure;Indie,https://store.steampowered.com/app/3670560,public_unreleased,full_details,2025-07-05
game,Monster Truck Demolition Derby,3830800,Play.io,Mobligate,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3830800/47a150da7d2424f661c250fe75d7d93cd31e5c25/header.jpg?t=1751659309,,Single-player;Family Sharing,Action;Racing;Simulation,https://store.steampowered.com/app/3830800,public_unreleased,full_details,2025-07-05
game,The Depths Of My Guilt,3823670,The Ambitious Game Dev,The Ambitious Game Dev,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3823670/02cfe68e4c68de7d3fa184bb85ca1681a3a84ef9/header.jpg?t=1751701871,,Single-player;Stereo Sound;Family Sharing,Adventure,https://store.steampowered.com/app/3823670,public_unreleased,full_details,2025-07-05
game,Mindbreaker,3853860,Ryan Cho,Ryan Cho,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3853860/a5605e53fc30481fad03348b6daf9c47f2d37ce1/header.jpg?t=1751709993,,Single-player;Steam Achievements;Tracked Controller Support;VR Only,Action;Adventure;Simulation;Free To Play,https://store.steampowered.com/app/3853860,public_unreleased,full_details,2025-07-05
game,Tales of Aradia: Idle RPG,3807280,AradiaStudios,AradiaStudios,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3807280/65257b738cc1f7c43150634a9d2de06ed6cff483/header.jpg?t=1751689132,https://www.aradiastudios.com/,Single-player,Adventure;Indie;RPG;Free To Play;Early Access,https://store.steampowered.com/app/3807280,public_unreleased,full_details,2025-07-05
game,Monster Ops 13,3665470,Y Press Games,Y Press Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3665470/54040da9d9633377ca4c5dce566ec8743ce22364/header.jpg?t=1751663029,https://ypressgames.com/category/monster-ops/,Single-player;Steam Achievements,Simulation;Free To Play,https://store.steampowered.com/app/3665470,public_unreleased,full_details,2025-07-05
game,Cuisine Master VR,3842640,Youssef Ismail,Youssef Ismail,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3842640/cdcd24dcc2bc81fefe7206429d7de9205a690479/header.jpg?t=1751697404,,Single-player;VR Only;Family Sharing,Casual;Indie;Simulation,https://store.steampowered.com/app/3842640,public_unreleased,full_details,2025-07-05
demo,小小坏女巫 Wicked Little Witch Demo,3821130,Aliu,Aliu,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3821130/b644187c80aadd605c356439e650927d96d48a3c/header.jpg?t=1751658976,,Single-player;Game demo;Full controller support;Camera Comfort;Custom Volume Controls;Playable without Timed Input,Action;Adventure;Casual;Indie;RPG,https://store.steampowered.com/app/3821130,public_unreleased,full_details,2025-07-05
demo,Merge Coin: Mai Demo,3848740,GhostTempura,GhostTempura,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3848740/f3426efde4708839e33ddd0a033b9efe478bc701/header.jpg?t=1751692293,,Single-player;Game demo;Custom Volume Controls;Playable without Timed Input,,https://store.steampowered.com/app/3848740,public_unreleased,full_details,2025-07-05
demo,Rocket Wrestling Entertainment Demo,3356730,Rocket Jump Games,Rocket Jump Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3356730/cd61a23a9ba025409d8e9ef7e0d7e9abd9b3b580/header.jpg?t=1751663444,,Multi-player;PvP;Online PvP;Game demo,,https://store.steampowered.com/app/3356730,public_unreleased,full_details,2025-07-05
