type,name,steam_appid,developers,publishers,header_image,website,categories,genres,steam_url
game,In Arrears,3822100,Offensive Ideas Studio,Offensive Ideas Studio,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3822100/7594d2b761b83fd9a9537f0a3558af0438c9cab6/header.jpg?t=1751472922,https://offensiveideas.com/games/in-arrears,Single-player;Steam Achievements;Adjustable Text Size;Playable without Timed Input;Stereo Sound;Family Sharing,Action;Indie,https://store.steampowered.com/app/3822100
game,LIGHT-BRINGER,3817860,Mared Jurphy,Mared Jurphy,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3817860/0f9550d5fdc88186e9db85878284733ee6726db6/header.jpg?t=1751481533,,Single-player,Adventure;Free To Play,https://store.steampowered.com/app/3817860
game,Nova Patria,3831720,Sower Interactive,Judatone Studios,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3831720/eaa21a1297867674c9bd69b3e62a29a9abf1b3d8/header.jpg?t=1751479952,https://sowerinteractive.com/,Single-player;Steam Achievements;Family Sharing,Indie;Simulation;Strategy,https://store.steampowered.com/app/3831720
game,Hemobloom,2435000,Mahad Dareshani,dArtist Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2435000/ebfce2c9762dbd2fe1737e9569d010da1fbd074b/header.jpg?t=1751469708,,Single-player;Full controller support;Camera Comfort;Custom Volume Controls;Adjustable Difficulty;Playable without Timed Input;Stereo Sound;Family Sharing,Adventure,https://store.steampowered.com/app/2435000
game,What’s for Dinner?,3843510,uuBach Studio,uuBach Studio,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3843510/2dad6f1728e5bc3fb0269f2e4fd5b6750055e667/header.jpg?t=1751479250,,Single-player;Playable without Timed Input;Save Anytime;Family Sharing,Adventure;Indie,https://store.steampowered.com/app/3843510
demo,Important People of History: Presidents - Abraham Lincoln Demo,3721910,Sunny Demeanor Games,Sunny Demeanor Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3721910/65d326c61596d27f4075e281fa813738fa708820/header.jpg?t=1751467244,,Single-player;Game demo;Adjustable Text Size;Camera Comfort;Color Alternatives;Custom Volume Controls;Mouse Only Option;Playable without Timed Input;Save Anytime;Touch Only Option,,https://store.steampowered.com/app/3721910
game,R.E.M. Rage,3845930,Roger Eduardo de Couto,Indie,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3845930/70436a2ebd6f502b4535d5b2d9b13af418a8e169/header.jpg?t=1751473347,,Single-player;Full controller support;Family Sharing,Action;Indie,https://store.steampowered.com/app/3845930
game,Love Bird,3783820,Fermata,Fermata,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3783820/22789dc1ba325421eb29da3d09fb2878b54a24a1/header.jpg?t=1751478323,,Single-player;Family Sharing,Indie;Simulation;Early Access,https://store.steampowered.com/app/3783820
game,Bloomkeeper,3034650,Resonance Interactive,Resonance Interactive,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3034650/f69ea0f7c6a252a57158bb12c8a6556582001fbf/header.jpg?t=1751468251,https://resonance-interactive.com/bloomkeeper/,Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Custom Volume Controls;Playable without Timed Input;Stereo Sound;Partial Controller Support;Family Sharing,Adventure;Casual;Indie,https://store.steampowered.com/app/3034650
game,Mirealle,3701140,qovagames,qovagames,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3701140/821b4a518a6ac389e0e5c32b6a75941327d64141/header.jpg?t=1751466719,,Single-player;Custom Volume Controls;Mouse Only Option;Playable without Timed Input;Save Anytime;Family Sharing,Adventure;Casual;Indie,https://store.steampowered.com/app/3701140
game,Snakez Arena,3848360,Abur Cubur Games,Abur Cubur Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3848360/3fdbd37c87313c32502ea82824b6d179a07e0a37/header.jpg?t=1751479861,,Single-player;Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Co-op;Online Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Camera Comfort;Adjustable Difficulty;Playable without Timed Input;Stereo Sound;Partial Controller Support;Remote Play Together;Family Sharing,Action;Casual,https://store.steampowered.com/app/3848360
demo,Important People of History: Presidents - George Washington Demo,3721860,Sunny Demeanor Games,Sunny Demeanor Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3721860/efa04c3834f211b80865a83d923bc63a59840c86/header.jpg?t=1751467222,,Single-player;Game demo;Adjustable Text Size;Camera Comfort;Color Alternatives;Custom Volume Controls;Mouse Only Option;Playable without Timed Input;Save Anytime;Touch Only Option,,https://store.steampowered.com/app/3721860
game,Boogie Cruise,3709600,Lilfoxeone;Prisimultra,Skill Mode,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3709600/1b72a10262b3ae90019d622598bd3574cb15e7e3/header.jpg?t=1751469382,https://skillmode.io/,Single-player;Family Sharing,Action;Adventure;Indie;Racing,https://store.steampowered.com/app/3709600
demo,Java Saga RPG Direct Demo,3805870,Neptune 64,Stone Studios,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3805870/5e1f761f48bed3eeec1c48fd23d8463807cf4db0/header.jpg?t=1751476014,,Single-player;Game demo;Full controller support;Custom Volume Controls;Stereo Sound,RPG,https://store.steampowered.com/app/3805870
dlc,Mostroscopy - Dollores,3843260,Oribe Ware Games,Oribe Ware Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3843260/ee27c1f502d12a9e5c160fbd4ecbb7bdada54fa9/header.jpg?t=1751478949,https://oribewaregames.com,Single-player;Multi-player;PvP;Online PvP;Downloadable Content;Steam Achievements;Partial Controller Support;Remote Play Together;Family Sharing,Action;Indie,https://store.steampowered.com/app/3843260
