type,name,steam_appid,developers,publishers,website,categories,genres,steam_url,detection_stage,api_response_type,potential_duplicate,release_date,description,supported_languages,followers,wishlists_est,wishlist_rank,discovery_date
dlc,Tiny Garden - Summer Breeze Cosmetic Pack,3823710,Ao Norte,Super Rare Originals,https://aonorte.com,Single-player;Downloadable Content;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Family Sharing,Casual;Indie;Simulation;Strategy,https://store.steampowered.com/app/3823710,public_unreleased,full_details,False,"Jul 17, 2025",Dive into sun-soaked gameplay with the Summer Breeze DLC! ,"*;, Spanish - Spain;*;, French;*;, German;*;, Japanese;*;, Simplified Chinese;*;, Traditional Chinese;*;, Galician;*;, Korean;*;*",,,,2025-07-09
music,The Warrior - Official Soundtrack,3852360,ThornDuck,,,,,https://store.steampowered.com/app/3852360,public_unreleased,full_details,False,"Aug 1, 2025",The Warrior Official Soundtrack.,,,,,2025-07-09
game,ZahmahreL,3854410,FarkasInteractive,FarkasInteractive,https://www.farkasinteractive.com/,Single-player;Steam Achievements;Camera Comfort;Custom Volume Controls;Playable without Timed Input;Stereo Sound;Surround Sound;Partial Controller Support;Family Sharing,Adventure;Indie,https://store.steampowered.com/app/3854410,public_unreleased,full_details,False,Q3 2025,"As a YouTuber investigating supernatural events, explore the mysterious and terrifying happenings in an abandoned location. Your camera is your only ally, but can you uncover these dark secrets?","*;, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Simplified Chinese, Japanese, Korean, Polish, Hungarian, Portuguese - Portugal, Russian, Turkish;*;, Ukrainian, Czech;*",5,60,,2025-07-09
dlc,Atchmo -【SPECIAL LIVE】VOICE (Japanese Ver.) | Tacitly,3827800,"NTT QONOQ, INC.","NTT QONOQ, INC.",https://atchmo.com/,Single-player;Downloadable Content,Casual;Free To Play,https://store.steampowered.com/app/3827800,public_unreleased,full_details,False,Coming soon,Tacitly's original song &quot;VOICE&quot; Special version for Atchmo,"*;, Simplified Chinese;*",,,,2025-07-09
dlc,Atchmo -【SPECIAL LIVE】Proof of Existence (English Ver.) | Tacitly,3827780,"NTT QONOQ, INC.","NTT QONOQ, INC.",https://atchmo.com/,Single-player;Downloadable Content,Casual;Free To Play,https://store.steampowered.com/app/3827780,public_unreleased,full_details,False,Coming soon,Tacitly's original song &quot;Proof of Existence&quot; Special version for Atchmo,"*;, Japanese, Simplified Chinese;*",,,,2025-07-09
dlc,Atchmo -【SPECIAL LIVE】Proof of Existence (Chinese Ver.) | Tacitly,3827790,"NTT QONOQ, INC.","NTT QONOQ, INC.",https://atchmo.com/,Single-player;Downloadable Content,Casual;Free To Play,https://store.steampowered.com/app/3827790,public_unreleased,full_details,False,Coming soon,Tacitly's original song &quot;Proof of Existence&quot; Special version for Atchmo,*;*,,,,2025-07-09
game,Yacht Dice Family,3848270,Happy Figs,Happy Figs,,Single-player;Multi-player;PvP;Shared/Split Screen PvP;Shared/Split Screen;Cross-Platform Multiplayer;Custom Volume Controls;Mouse Only Option;Playable without Timed Input;Stereo Sound;Remote Play Together;Family Sharing,Casual;Indie;Simulation,https://store.steampowered.com/app/3848270,public_unreleased,full_details,False,Coming soon,"Family Yacht Dice on Steam is classic dice-rolling fun with only local multiplayer. Play turn-based or simultaneous, climb weekly leaderboards, and chill to mellow tunes. Perfect for couch battles with friends! (207 characters)",English;French;Italian;German;Spanish - Spain;Romanian,1,14,,2025-07-09
game,On the Way,3844110,LuMyst Games,LuMyst Games,https://youtube.com/@lumystgames?si=-RnxC0czUdyEn_8V,Single-player;Partial Controller Support;Family Sharing,Casual,https://store.steampowered.com/app/3844110,public_unreleased,full_details,False,To be announced,"In this Adventure you will embark on the search for a man. In classic Psychological Horror Gameplay in the First Person Perspective. You will encounter strange people, solve hard to crack puzzles and explore a world in which the Minds of People might drip into reality.",*;*,6,84,,2025-07-09
game,2 Bows 1 Arrow,3825740,SKL Games,SKL Games,,Multi-player;Co-op;Online Co-op;Steam Achievements;Camera Comfort;Custom Volume Controls;Save Anytime;Stereo Sound;Surround Sound;Steam Cloud;Family Sharing,Adventure;Indie,https://store.steampowered.com/app/3825740,public_unreleased,full_details,False,To be announced,"2 Bows 1 Arrow is сoop action platforming puzzel FOR 2 PLAYERS ONLY! Challenge yourself and you friend with numerous levels that need coordination, problem solving and bow shooting skills. It more chelenging when you have only 1 arrow for both of you.",English;Ukrainian,2,24,,2025-07-09
game,Titanic Rescue,3854380,Ledgerdary,Ledgerdary,,Single-player;Family Sharing,Adventure,https://store.steampowered.com/app/3854380,public_unreleased,full_details,False,July 2025,"Command the RMS Carpathia in 1912! Rescue Titanic survivors from icy waters, navigate treacherous icebergs, and deliver them to New York. Prepare for a challenging voyage through four distinct levels, each testing your navigation skills and resolve.",*;*,1,12,,2025-07-09
